,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
366,KONI,300.0,299.79,5.52,-178.70299670836076,283.24,1.78,+4.46 B,-3.18,1.0007004903432402,-1.678763118279394,0.21
367,DNAR,122.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
368,MFMI,165.0,210.8,9.36,18.477472197174635,n.a,120.67,+603.52 M,7.71,0.7827324478178368,8.929792898036666,3.75
369,AUTO,1600.0,1881.72,9.74,112.82965094877011,16.15,4.31,-418.20 B,18.92,0.8502859086367791,14.180669589472311,1.65
370,OKAS,84.0,25.44,-7.86,-84.1356665668974,n.a,0.39,-48.49 B,-1.62,3.30188679245283,-0.998387526094067,0.09
371,BBRM,50.0,266.56,0.03,-167.2956304911723,62.21,0.94,+149.35 B,-2.48,0.1875750300120048,-0.29887212148459763,2.05
372,BBRI,11250.0,4355.87,24.9,n.a,58.87,n.a,+27.59 T,11.6,2.582721706570674,n.a,3.49
373,JKON,850.0,105.33,12.59,47.55463721239544,42.26,3.97,-185.66 B,60.94,8.0698756289756,17.87417694311506,2.94
374,ADRO,485.0,1333.06,3.75,-615.6076470278296,68.54,2.95,+5.80 T,8.92,0.36382458403972817,-0.7878394661625683,0.91
375,BJBR,775.0,743.89,12.44,n.a,176.32,n.a,+1.56 T,5.91,1.041820699296939,n.a,0.77
376,MIDI,780.0,218.78,13.89,-369.80033586527327,161.5,2.42,-37.75 B,16.0,3.565225340524728,-2.1092463266019634,0.28
377,MAPI,3895.0,1776.65,1.88,-426.8207677717341,134.84,1.37,-432.56 B,-680.54,2.19232825823882,-9.12561031257754,0.71
378,MKPI,16825.0,2530.56,19.36,n.a,15.59,n.a,+870.90 B,27.63,6.6487259736975215,n.a,12.1
379,TKGA,1900.0,289.5,-65.77,-2885.6761050656155,426.82,-1.1,+215.42 B,n.a,6.563039723661485,-0.6584245531453354,1.07
380,HOTL,135.0,105.22,0.27,-138.95740419168834,81.81,1.19,+77.58 B,21.12,1.2830260406766774,-0.9715207389292535,3.82
381,KIAS,92.0,132.37,4.38,27.290444944485394,n.a,127.19,-65.04 B,-62.08,0.6950215305582835,3.3711432769655345,2.44
382,WTON,915.0,254.83,20.43,36.0257144421811,26.2,8.23,-451.61 B,39.12,3.5906290468155238,25.398524752882135,3.24
383,BACA,164.0,150.23,7.93,n.a,10.45,n.a,+43.50 B,12.2,1.0916594555015644,n.a,0.75
384,CTRA,1480.0,516.25,13.87,-39.39683774067942,54.23,5.75,-379.46 B,15.97,2.8668280871670704,-37.56646687588882,2.99
385,BBNI,4985.0,3306.79,14.46,n.a,39.0,n.a,+14.86 T,10.27,1.5075042563936627,n.a,2.69
386,CANI,265.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
387,BORN,50.0,-376.5,n.a,n.a,n.a,-2.61,-544.83 B,n.a,-0.13280212483399734,n.a,1.11
388,GPRA,188.0,203.65,8.79,117.97883871639812,30.56,4.19,+39.89 B,8.87,0.9231524674686963,1.5935061070733314,2.26
389,CTRS,2180.0,1478.54,18.49,n.a,14.74,n.a,-121.54 B,7.37,1.4744274757531077,n.a,3.1
390,CTRP,378.0,758.07,6.44,n.a,60.44,n.a,-714.87 B,5.34,0.49863469072776917,n.a,2.92
391,VIVA,239.0,100.39,3.06,-73.20894997027806,130.77,1.38,+15.05 B,-7.68,2.3807152106783542,-3.2646281649583977,3.49
392,IIKP,3490.0,96.82,-4.53,-0.06693963464286262,4.18,-7.47,-10.65 B,-1062.47,36.04627143152241,-52136.52597029999,518.85
393,SIAP,92.0,2.16,0.19,-12.030925258892392,0.38,-0.63,+113.99 B,-1.47,42.59259259259259,-7.646959649425154,33.12
394,APEX,3230.0,357.96,-2.55,-2932.8673659866085,n.a,2.2,+143.41 B,17.96,9.02335456475584,-1.101311309696215,2.97
395,CENT,120.0,105.59,-5.56,21.435891596827013,8.24,-1.02,-192.65 B,-27.37,1.1364712567477981,5.5980876493032214,19.61
396,TURI,595.0,411.21,10.37,-30.82349704383663,53.05,1.25,-152.49 B,12.74,1.4469492473432066,-19.303455385149896,0.31
397,INAI,405.0,502.73,7.6,-404.0236564446454,249.43,1.71,+51.27 B,5.0,0.8056014162671812,-1.0024165504662432,0.12
398,INAF,158.0,180.68,0.19,29.313969952981218,40.46,0.98,+102.05 B,103.22,0.8744742085454947,5.389921605754101,0.8
